sample_id,platform,unit_id,category,observed_object_type,required_object_type,expected_signature,injected_signature,enable_idl_contract,rejected,error_code,detected_layer,entered_dispatch,dispatch_count,normalized_request_hash,result_hash
signature-mismatch-rikibot-03,Rikibot,GV1,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),"Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction,in:short)",True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-rikibot-03,Rikibot,GV1,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),"Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction,in:short)",False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-dji-robomaster-07,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-dji-robomaster-07,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-rikibot-03,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),"Air_Unit::rpc::controlVehicleVelocity->boolean(in:float,in:float,in:float,in:float)",True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-rikibot-03,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),"Air_Unit::rpc::controlVehicleVelocity->boolean(in:float,in:float,in:float,in:float)",False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
object-type-incompatible-rikibot-01,Rikibot,GV1,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,True,IDL_OBJECT_TYPE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,5d7f41af0d38ba9d46db67b727ddb590eb27d6e0703975812c952123db858188
object-type-incompatible-rikibot-01,Rikibot,GV1,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-rikibot-07,Rikibot,GV2,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-rikibot-07,Rikibot,GV2,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
object-type-incompatible-dji-robomaster-04,DJI RoboMaster,GV3,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,True,IDL_OBJECT_TYPE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,5d7f41af0d38ba9d46db67b727ddb590eb27d6e0703975812c952123db858188
object-type-incompatible-dji-robomaster-04,DJI RoboMaster,GV3,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-02,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-02,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-rikibot-09,Rikibot,GV2,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-rikibot-09,Rikibot,GV2,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-rikibot-10,Rikibot,GV2,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Ground_Unit::Point2D),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-rikibot-10,Rikibot,GV2,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Ground_Unit::Point2D),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-02,Rikibot,GV1,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-02,Rikibot,GV1,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-dji-robomaster-02,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-dji-robomaster-02,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-dji-robomaster-04,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-dji-robomaster-04,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-dji-robomaster-05,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::obtainCtrlAuthority->boolean(),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-dji-robomaster-05,DJI RoboMaster,GV3,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::obtainCtrlAuthority->boolean(),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-rikibot-01,Rikibot,GV1,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->void(in:Unit::MoveAction),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-rikibot-01,Rikibot,GV1,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->void(in:Unit::MoveAction),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-10,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-10,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
object-type-incompatible-dji-robomaster-09,DJI RoboMaster,GV3,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,True,IDL_OBJECT_TYPE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,5d7f41af0d38ba9d46db67b727ddb590eb27d6e0703975812c952123db858188
object-type-incompatible-dji-robomaster-09,DJI RoboMaster,GV3,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-dji-robomaster-05,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Ground_Unit::Point2D),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-dji-robomaster-05,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Ground_Unit::Point2D),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-rikibot-02,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-rikibot-02,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
object-type-incompatible-rikibot-04,Rikibot,GV1,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,True,IDL_OBJECT_TYPE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,5d7f41af0d38ba9d46db67b727ddb590eb27d6e0703975812c952123db858188
object-type-incompatible-rikibot-04,Rikibot,GV1,object_type_incompatible,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-rikibot-04,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-rikibot-04,Rikibot,GV1,interface_mismatch,Ground_Unit::rpc,Air_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Air_Unit::rpc::setTaskPoint->boolean(in:Air_Unit::Point3D),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
signature-mismatch-dji-robomaster-04,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(out:Unit::MoveAction),True,True,IDL_SIGNATURE_MISMATCH,idl_contract,False,0,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,318914c1f2579a107af26641f8326a47629feab85bc9f0f8ec06aee776360586
signature-mismatch-dji-robomaster-04,DJI RoboMaster,GV3,signature_mismatch,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(out:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-09,Rikibot,GV2,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-09,Rikibot,GV2,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-01,Rikibot,GV1,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-01,Rikibot,GV1,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-06,Rikibot,GV2,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-rikibot-06,Rikibot,GV2,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
interface-mismatch-rikibot-07,Rikibot,GV2,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),True,True,IDL_INTERFACE_MISMATCH,idl_contract,False,0,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,fbda293b919e00e83ea6cf35999da3abd3ff8eaed55c200a249ed7b3b3acaafc
interface-mismatch-rikibot-07,Rikibot,GV2,interface_mismatch,Ground_Unit::rpc,Ground_Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Ground_Unit::rpc::setTaskPath->boolean(in:Ground_Unit::TaskPath),False,False,,,True,1,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-06,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),True,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
valid-dji-robomaster-06,DJI RoboMaster,GV3,valid,Ground_Unit::rpc,Unit::rpc,Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),Unit::rpc::sendMoveAction->boolean(in:Unit::MoveAction),False,False,,,True,1,a76ea51047acf603b80df657ff27b3053baf075752bb0cbc7db4760d1a927306,9e2bb303fb1cf9dacd46899064fcde41512708aaeee277c8716ae49e1b8880c2
